Join,Coordinates,Exposure of S. caninervis,Stem height,Number of inflorescences,"Sex (M,F,S)",Genomics_ID,Sample_ID,Inferred Genetic Sex
T4-210,T4 210,U,2.3,0.0,S,,,
T2-45,T2 45,U,1.5,0.0,S,,,
T2-45,T2 45,U,1.4,0.0,S,,,
T4-300,T4 300,U,2.5,2.0,F,,,
T4-300,T4 300,U,2.6,0.0,S,,,
T4-300,T4 300,U,4.5,2.0,F,,,
T4-375,T4 375,U,1.5,0.0,S,,,
T4-435,T4 435,U,1.1,0.0,S,,,
T4-465,T4 465,U,2.1,0.0,S,,,
T4-435,T4 435,U,0.8,0.0,S,,,
T4-435,T4 435,U,1.0,0.0,S,,,
T4-435,T4 435,U,2.3,0.0,S,,,
T4-375,T4 375,U,2.4,1.0,F,,,
T4-435,T4 435,U,0.6,0.0,S,,,
T4-435,T4 435,U,0.6,0.0,S,,,
T4-435,T4 435,U,0.5,0.0,S,,,
T4-435,T4 435,U,0.8,0.0,S,,,
T4-210,T4 210,U,1.8,1.0,F,,,
T3-750,T3 750,U,2.0,0.0,S,,,
T4-465,T4 465,U,2.0,1.0,F,,,
T4-435,T4 435,U,1.0,0.0,S,,,
T4-375,T4 375,U,1.6,0.0,S,,,
T4-435,T4 435,U,0.8,0.0,S,,,
T4-375,T4 375,U,2.5,1.0,F,,,
T4-300,T4 300,U,2.8,2.0,F,,,
T4-300,T4 300,U,2.5,1.0,F,,,
T4-300,T4 300,U,3.0,1.0,F,,,
T4-375,T4 375,U,1.8,0.0,S,,,
T4-300,T4 300,U,1.5,0.0,S,,,
T4-300,T4 300,U,3.2,2.0,F,,,
T4-300,T4 300,U,3.0,0.0,S,,,
T3-750,T3 750,U,2.1,0.0,S,,,
T3-750,T3 750,U,1.9,0.0,S,,,
T3-750,T3 750,U,2.4,0.0,S,,,
T4-375,T4 375,U,2.5,0.0,S,,,
T4-375,T4 375,U,2.0,0.0,S,,,
T4-375,T4 375,U,1.8,0.0,S,,,
T4-375,T4 375,U,2.1,0.0,S,,,
T4-375,T4 375,U,2.4,0.0,S,,,
T3-375,T3 375,nan,1.8,0.0,S,,,
T3-375,T3 375,nan,2.1,0.0,S,,,
T3-375,T3 375,nan,1.5,0.0,S,,,
T3-375,T3 375,nan,2.5,1.0,F,,,
T3-375,T3 375,nan,1.8,0.0,S,,,
T3-375,T3 375,nan,1.6,0.0,S,,,
T3-375,T3 375,nan,2.4,1.0,F,,,
T3-375,T3 375,nan,2.4,0.0,S,,,
T3-375,T3 375,nan,2.0,0.0,S,,,
